@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA
170036430,-0.333,9.552,-1.628,9.695461670286774,standing
170036438,-0.294,9.650,-1.510,9.771849159703603,standing
170036447,-0.216,9.709,-1.432,9.81641283769178,standing
170036455,-0.196,9.669,-1.255,9.752076804455552,standing
170036463,-0.177,9.689,-1.177,9.761832768491786,standing
170036472,-0.196,9.748,-1.098,9.811601500264876,standing
170036480,-0.196,9.748,-1.098,9.811601500264876,standing
170036489,-0.137,9.728,-1.138,9.79529463569116,standing
170036497,-0.098,9.728,-1.216,9.80419522449446,standing
170036505,-0.098,9.689,-1.196,9.763029294230352,standing
170036514,-0.059,9.709,-1.118,9.77333545929945,standing
170036522,-0.039,9.767,-1.138,9.833150766666806,standing
170036531,-0.039,9.767,-1.138,9.833150766666806,standing
170036539,0.039,9.826,-1.157,9.893960076733684,standing
170036547,0.059,9.807,-1.118,9.870696733260525,standing
170036556,0.059,9.807,-1.020,9.860077585901644,standing
170036564,0.098,9.767,-1.020,9.820605531228713,standing
170036572,0.118,9.767,-0.961,9.814873101573957,standing
170036581,0.118,9.767,-0.961,9.814873101573957,standing
170036589,0.118,9.807,-0.922,9.850952085966107,standing
170036598,0.098,9.905,-0.863,9.943007492705615,standing
170036606,0.118,9.944,-0.824,9.978779284060753,standing
170036614,0.137,10.003,-0.883,10.04283162260525,standing
170036623,0.118,9.983,-0.902,10.024361176653603,standing
170036631,0.059,10.003,-0.804,10.035432526802222,standing
170036640,0.059,10.003,-0.804,10.035432526802222,standing
170036648,0.039,10.003,-0.785,10.033830524779656,standing
170036656,0.000,10.003,-0.706,10.027883375867512,standing
170036665,-0.039,10.003,-0.628,10.02276977686308,standing
170036673,-0.020,10.003,-0.628,10.02271385404173,standing
170036682,0.000,9.964,-0.588,9.981334580105008,standing
170036690,0.000,9.964,-0.588,9.981334580105008,standing
170036698,0.078,9.983,-0.667,10.005561553456157,standing
170036707,0.118,9.964,-0.647,9.98568119859632,standing
170036715,0.196,9.964,-0.765,9.995245719841009,standing
170036724,0.275,9.924,-0.863,9.96524811532558,standing
170036732,0.235,9.924,-0.902,9.967678014462544,standing
170036740,0.235,9.924,-0.902,9.967678014462544,standing
170036749,0.216,9.885,-0.804,9.919994808466383,standing
170036757,0.196,9.865,-0.785,9.898124367777967,standing
170036765,0.216,9.826,-0.706,9.853698189004978,standing
170036774,0.196,9.865,-0.686,9.89076523834228,standing
170036782,0.235,9.846,-0.686,9.872666154590663,standing
170036791,0.235,9.846,-0.686,9.872666154590663,standing
170036799,0.216,9.865,-0.608,9.886078342801053,standing
170036807,0.235,9.767,-0.628,9.78998968334492,standing
170036816,0.196,9.748,-0.608,9.768909048609265,standing
170036824,0.177,9.728,-0.510,9.742967361127716,standing
170036833,0.196,9.709,-0.608,9.729992857140235,standing
170036841,0.196,9.709,-0.608,9.729992857140235,standing
170036849,0.098,9.709,-0.667,9.73237761289604,standing
170036858,0.059,9.787,-0.647,9.80854010543873,standing
170036866,0.039,9.905,-0.726,9.931647496765075,standing
170036875,-0.118,9.905,-0.373,9.912723036582832,standing
170036883,-0.039,9.905,-0.431,9.9144494047829,standing
170036891,-0.039,9.905,-0.431,9.9144494047829,standing
170036900,-0.118,9.924,-0.353,9.930977242950464,standing
170036908,-0.020,9.944,-0.431,9.95335606717654,standing
170036917,-0.039,9.865,-0.412,9.873676620185613,standing
170036925,-0.039,9.846,-0.353,9.852403057122663,standing
170036933,0.000,9.846,-0.431,9.855428808529844,standing
170036942,-0.020,9.846,-0.471,9.857279391393956,standing
170036950,-0.020,9.846,-0.471,9.857279391393956,standing
170036959,0.000,9.905,-0.373,9.912020681980037,standing
170036967,0.059,9.885,-0.392,9.892945466341153,standing
170036975,0.059,9.905,-0.392,9.912929435842868,standing
170036984,-0.020,9.944,-0.412,9.952551431668164,standing
170036992,0.059,10.003,-0.333,10.008715152306014,standing
170037000,0.059,10.003,-0.333,10.008715152306014,standing
170037009,0.098,10.062,-0.373,10.069388114478455,standing
170037017,0.137,10.081,-0.333,10.087428760591076,standing
170037026,0.137,10.022,-0.353,10.029150612090737,standing
170037034,0.118,9.944,-0.353,9.950963219708935,standing
170037042,0.137,9.944,-0.451,9.955164790198102,standing
170037051,0.137,9.944,-0.451,9.955164790198102,standing
170037059,0.118,9.964,-0.373,9.971677341350352,standing
170037068,0.039,9.924,-0.373,9.931083828062272,standing
170037076,-0.020,9.905,-0.431,9.914392870972987,standing
170037084,-0.020,9.885,-0.431,9.894411857205055,standing
170037093,0.020,9.807,-0.392,9.81485165450808,standing
170037101,0.020,9.807,-0.392,9.81485165450808,standing
170037110,-0.020,9.865,-0.392,9.872805528318686,standing
170037118,-0.098,9.846,-0.451,9.856810893996089,standing
170037126,-0.177,9.865,-0.392,9.874371777485392,standing
170037135,-0.216,9.865,-0.373,9.874411881221079,standing
170037143,-0.255,9.885,-0.314,9.893272764864012,standing
