Chest	Chest	Chest	Chest	Right Hip	Right Hip	Right Hip	Right Hip	Right Wrist	Right Wrist	Right Wrist	Right Wrist	Right Thigh	Right Thigh	Right Thigh	Right Thigh	Right foot	Right foot	Right foot	Right foot	Lower Back	Lower Back	Lower Back	Lower Back	Annotation	Annotation
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Pulse	Level
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)	Boolean	Boolean
1219981.445	1.343	9.860	2.320	1220247.070	-0.538	9.767	2.386	1221208.984	3.218	8.564	-1.811	1219941.406	1.947	8.984	2.424	1221131.836	2.973	9.127	1.172	1220546.875	-1.785	7.759	5.354	0.000	0.000
1220000.977	1.501	9.361	2.093	1220266.602	-0.615	8.880	2.313	1221228.516	2.909	8.970	-2.276	1219960.937	2.259	8.864	2.801	1221151.367	2.572	8.928	0.702	1220566.406	-1.593	7.794	5.321	0.000	0.000
1220020.508	0.900	9.394	2.021	1220286.133	-1.231	8.922	2.035	1221248.047	2.393	10.010	-3.616	1219980.469	1.225	8.915	3.227	1221170.898	2.206	9.075	-0.016	1220585.937	-1.442	7.903	5.524	0.000	0.000
1220040.039	1.064	9.395	2.419	1220305.664	-1.654	9.249	2.361	1221267.578	4.282	8.885	-2.156	1220000.000	0.721	9.478	2.838	1221190.430	2.544	9.400	0.885	1220605.469	-1.631	7.609	5.500	0.000	0.000
1220059.570	1.621	9.439	2.096	1220325.195	-1.462	9.066	2.273	1221287.109	4.086	9.618	-1.793	1220019.531	1.749	8.668	1.789	1221209.961	2.067	9.050	0.484	1220625.000	-1.866	7.945	5.557	0.000	0.000
1220079.102	1.865	9.365	2.490	1220344.727	-1.462	8.733	2.246	1221306.641	4.250	8.843	-1.774	1220039.062	2.019	8.592	1.939	1221229.492	3.272	8.962	2.236	1220644.531	-1.483	7.978	5.683	0.000	0.000
1220098.633	1.181	9.781	2.117	1220364.258	-1.577	8.659	2.238	1221326.172	5.045	8.914	0.138	1220058.594	1.984	10.878	2.268	1221249.023	4.219	9.826	2.740	1220664.062	-1.371	7.977	6.069	0.000	0.000
1220118.164	1.182	9.820	2.159	1220383.789	-1.615	8.959	2.069	1221345.703	5.253	8.388	1.367	1220078.125	1.832	9.797	2.434	1221268.555	3.547	8.528	1.284	1220683.594	-1.376	8.569	5.995	0.000	0.000
1220137.695	1.060	9.741	1.996	1220403.320	-1.385	9.394	2.532	1221365.234	4.838	7.479	2.504	1220097.656	0.753	9.424	2.181	1221288.086	3.403	9.113	1.436	1220703.125	-1.223	8.494	6.070	0.000	0.000
1220157.227	0.737	9.969	1.731	1220422.852	-1.269	9.695	2.289	1221384.766	4.225	6.761	2.735	1220117.187	1.640	9.163	2.511	1221307.617	4.014	9.084	1.274	1220722.656	-1.258	8.531	5.726	0.000	0.000
1220176.758	0.821	10.047	2.054	1220442.383	-1.231	9.774	2.065	1221404.297	6.745	7.245	3.757	1220136.719	2.562	9.399	2.372	1221327.148	3.486	9.217	1.595	1220742.187	-1.252	8.309	5.326	0.000	0.000
1220196.289	0.934	9.932	1.447	1220461.914	-1.231	9.729	2.446	1221423.828	8.763	9.046	1.804	1220156.250	2.065	9.162	2.704	1221346.680	3.938	9.308	1.250	1220761.719	-1.604	8.794	5.468	0.000	0.000
1220215.820	0.895	10.009	1.491	1220481.445	-1.346	9.516	1.965	1221443.359	7.441	8.682	-1.464	1220175.781	2.112	9.658	3.464	1221366.211	3.535	9.349	1.910	1220781.250	-1.643	8.868	5.473	0.000	0.000
1220235.352	0.576	9.737	1.561	1220500.977	-1.846	9.853	1.790	1221462.891	6.034	7.638	-3.548	1220195.312	1.995	8.919	3.381	1221385.742	3.247	8.816	1.458	1220800.781	-1.450	8.755	5.468	0.000	0.000
1220254.883	0.774	9.585	1.351	1220520.508	-1.577	9.956	2.188	1221482.422	5.384	6.701	-3.754	1220214.844	2.025	8.870	2.532	1221405.273	3.735	9.262	2.172	1220820.312	-1.372	8.680	5.426	0.000	0.000
1220274.414	0.494	9.736	1.402	1220540.039	-1.154	9.735	2.140	1221501.953	5.364	5.921	-3.616	1220234.375	2.100	9.027	2.272	1221424.805	3.437	8.933	1.348	1220839.844	-1.402	8.310	5.015	0.000	0.000
1220293.945	0.413	9.273	1.340	1220559.570	-1.423	10.322	2.413	1221521.484	5.405	5.773	-3.550	1220253.906	1.638	9.393	2.256	1221444.336	3.578	8.728	0.988	1220859.375	-1.517	8.386	4.903	0.000	0.000
1220313.477	0.370	9.465	1.030	1220579.102	-1.346	9.692	2.441	1221541.016	4.156	5.593	-2.884	1220273.437	1.178	9.494	2.454	1221463.867	3.697	9.175	0.937	1220878.906	-1.363	8.347	4.826	0.000	0.000
1220333.008	0.410	9.581	0.955	1220598.633	-1.115	9.404	2.038	1221560.547	2.464	5.004	-2.891	1220292.969	2.140	8.800	2.451	1221483.398	3.377	9.092	1.858	1220898.437	-1.479	8.422	4.829	0.000	0.000
1220352.539	0.569	9.352	0.902	1220618.164	-1.192	9.253	2.178	1221580.078	2.239	5.438	-2.280	1220312.500	2.409	9.135	2.471	1221502.930	3.346	8.957	0.850	1220917.969	-1.555	8.608	4.571	0.000	0.000
1220372.070	0.688	9.699	0.838	1220637.695	-1.231	9.328	2.106	1221599.609	2.022	6.045	-0.502	1220332.031	2.138	9.250	2.247	1221522.461	3.477	9.119	1.320	1220937.500	-1.549	8.460	4.177	0.000	0.000
1220391.602	0.536	10.698	1.570	1220657.227	-1.269	9.485	1.657	1221619.141	1.141	6.384	0.924	1220351.562	2.982	9.229	2.015	1221541.992	3.638	9.069	1.585	1220957.031	-1.244	8.494	4.377	0.000	0.000
1220411.133	0.809	10.239	0.864	1220676.758	-1.231	9.029	2.236	1221638.672	0.668	6.620	2.296	1220371.094	2.556	9.231	1.785	1221561.523	3.596	8.962	1.502	1220976.562	-1.525	9.163	4.919	0.000	0.000
1220430.664	0.731	9.700	1.078	1220696.289	-1.269	8.445	1.804	1221658.203	1.042	7.205	3.830	1220390.625	2.668	9.356	1.369	1221581.055	3.715	9.182	1.552	1220996.094	-2.266	9.430	5.653	0.000	0.000
1220450.195	0.809	9.470	0.905	1220715.820	-0.500	9.413	1.589	1221677.734	2.150	7.738	4.576	1220410.156	3.318	9.743	1.046	1221600.586	3.883	9.035	0.773	1221015.625	-1.951	8.908	5.469	0.000	0.000
1220469.727	0.692	9.199	1.213	1220735.352	-0.846	10.880	2.315	1221697.266	2.877	8.819	5.291	1220429.687	3.159	9.609	0.500	1221620.117	3.513	9.236	1.211	1221035.156	-1.481	8.719	4.773	0.000	0.000
1220489.258	0.809	8.700	0.907	1220754.883	-1.615	10.585	2.238	1221716.797	2.530	9.297	4.946	1220449.219	3.419	9.193	-0.371	1221639.648	3.790	9.149	1.473	1221054.687	-1.445	8.644	5.076	0.000	0.000
1220508.789	0.727	8.815	0.673	1220774.414	-0.808	9.553	1.979	1221736.328	3.194	9.241	4.506	1220468.750	4.067	9.997	-1.016	1221659.180	3.078	9.257	0.794	1221074.219	-1.258	8.716	5.508	0.000	0.000
1220528.320	0.887	9.009	0.682	1220793.945	-1.538	9.558	1.734	1221755.859	3.416	8.991	4.061	1220488.281	4.861	10.081	-2.318	1221678.711	3.265	9.191	0.634	1221093.750	-1.175	8.493	5.148	0.000	0.000
1220547.852	0.884	9.317	0.417	1220813.477	-1.885	9.409	1.754	1221775.391	2.885	9.174	3.161	1220507.812	6.686	8.201	-4.469	1221698.242	3.251	8.912	0.271	1221113.281	-1.364	8.236	5.126	0.000	0.000
1220567.383	0.522	9.428	0.226	1220833.008	-1.462	9.445	1.842	1221794.922	2.644	10.060	3.036	1220527.344	7.907	1.206	-5.466	1221717.773	3.868	8.958	1.576	1221132.812	-1.555	8.423	4.789	0.000	0.000
1220586.914	0.597	10.314	-0.250	1220852.539	-1.385	9.891	1.725	1221814.453	3.148	10.410	2.320	1220546.875	4.717	4.388	-5.198	1221737.305	2.502	9.207	-0.434	1221152.344	-1.407	8.940	4.790	0.000	0.000
1220606.445	0.125	10.732	0.455	1220872.070	-1.269	9.560	1.624	1221833.984	3.053	9.267	1.588	1220566.406	0.510	4.534	-2.805	1221756.836	5.120	9.787	2.036	1221171.875	-1.715	9.202	4.648	0.000	0.000
1220625.977	-0.000	10.423	-0.039	1220891.602	-0.923	9.111	1.864	1221853.516	2.815	8.116	1.435	1220585.937	0.918	3.211	-0.538	1221776.367	3.963	9.632	0.692	1221191.406	-1.374	9.421	4.901	0.000	0.000
1220645.508	0.238	9.925	-0.186	1220911.133	-0.538	9.300	1.656	1221873.047	2.236	7.728	1.996	1220605.469	0.939	5.220	1.621	1221795.898	3.346	10.314	0.393	1221210.937	-1.605	9.572	4.792	0.000	0.000
1220665.039	0.444	9.620	0.357	1220930.664	-0.769	9.785	1.498	1221892.578	1.095	7.118	1.476	1220625.000	-0.751	6.085	1.865	1221815.430	6.107	10.714	1.274	1221230.469	-1.600	9.127	4.684	0.000	0.000
1220684.570	0.482	9.505	0.150	1220950.195	-0.115	9.785	1.511	1221912.109	1.321	7.082	1.815	1220644.531	0.339	9.025	-0.728	1221834.961	6.269	12.631	2.195	1221250.000	-1.910	9.315	4.806	0.000	0.000
1220704.102	0.401	9.389	0.145	1220969.727	-0.808	9.712	1.453	1221931.641	2.120	6.605	2.958	1220664.062	4.200	8.987	-3.115	1221854.492	6.524	15.463	3.324	1221269.531	-1.869	9.315	4.499	0.000	0.000
1220723.633	0.643	9.083	0.288	1220989.258	-0.731	9.490	1.437	1221951.172	2.350	6.674	3.920	1220683.594	13.569	14.015	-4.621	1221874.023	13.162	17.212	0.940	1221289.062	-1.941	9.093	4.213	0.000	0.000
1220743.164	0.924	9.009	0.441	1221008.789	-1.385	9.415	1.456	1221970.703	2.028	7.965	3.902	1220703.125	18.355	22.531	-2.956	1221893.555	17.949	19.123	3.468	1221308.594	-2.240	8.615	3.827	0.000	0.000
1220762.695	1.044	8.434	0.411	1221028.320	-1.731	9.560	1.615	1221990.234	2.631	12.541	6.671	1220722.656	8.004	20.142	0.401	1221913.086	17.172	14.305	3.533	1221328.125	-2.388	8.246	3.645	0.000	0.000
1220782.227	0.845	8.508	0.457	1221047.852	-2.077	9.304	1.472	1222009.766	2.587	14.726	6.671	1220742.187	2.709	18.860	5.555	1221932.617	8.225	3.485	-0.065	1221347.656	-2.154	7.947	3.590	0.000	0.000
1220801.758	0.647	8.468	0.657	1221067.383	-2.231	9.413	1.593	1222029.297	3.668	14.559	6.984	1220761.719	-0.538	14.800	7.734	1221952.148	0.516	-4.229	-0.605	1221367.187	-2.422	7.950	3.470	0.000	0.000
1220821.289	0.487	7.774	0.744	1221086.914	-2.385	9.377	1.510	1222048.828	4.886	12.663	6.481	1220781.250	-2.302	12.135	8.305	1221971.680	14.583	-9.153	4.536	1221386.719	-2.689	7.434	3.736	0.000	0.000
