@relation Accelerometer-weka.filters.unsupervised.attribute.Remove-R1

@attribute accX numeric
@attribute accY numeric
@attribute accZ numeric
@attribute accTotal numeric
@attribute label {lying,running,sitting,standing,walking}

@data
-4.55,-6.806,-4.766,9.473061,lying
-4.315,-6.767,-4.707,9.304158,lying
-4.08,-6.825,-4.629,9.200797,lying
-4.08,-6.825,-4.629,9.200797,lying
-3.962,-6.923,-4.57,9.192947,lying
-3.844,-7.12,-4.57,9.292773,lying
-3.766,-7.296,-4.413,9.321424,lying
-3.746,-7.492,-4.276,9.404614,lying
-3.883,-7.767,-4.335,9.705473,lying
-3.942,-7.924,-4.295,9.837488,lying
-3.942,-7.924,-4.295,9.837488,lying
-3.942,-7.963,-4.178,9.818575,lying
-3.785,-8.041,-4.158,9.811874,lying
-3.766,-8.022,-4.119,9.772482,lying
-3.55,-8.12,-4.04,9.739533,lying
-3.354,-8.198,-3.903,9.679356,lying
-3.354,-8.198,-3.903,9.679356,lying
-3.177,-8.453,-3.864,9.822272,lying
-3.119,-8.63,-3.962,9.995124,lying
